Penelitian,Sitasi
Assessing paddy farming sustainability in the Northern Terengganu Integrated Agricultural Development Area (IADA KETARA): A structural equation modelling approach,3
Amat@ Anwar. Sejarah Penggunaan Matawang Dinar,6
Nutrient manager for rice: a mobile phone and internet application increases rice yield and profit in rice farming,5
"Genetic Structure of Herpetofauna on Halmahera Island, Indonesia: Implications for Aketajawe‐Lolobata National Park",5
Elites’ perceptions about the Bukit Barisan Selatan National Park,5
Kebijakan Publik Jakarta,5
Development of FMCW SAR on L-band frequency for UAV payload,4
Analisis Daya Saing Usahatani Kelapa Sawit di Kecamatan Waway Karya Kabupaten Lampung Timur,4
The impact of government policy on the competitiveness of sugarcane farming in Lampung Province,4
Model percepatan pengembangan pertanian lahan rawa lebak berbasis inovasi,3
"Exploration and Development of the Tawau Geothermal Project, Malaysia",3
Geothermal Reservoir Characterization for Steam Field Management in Kamojang Geothermal Field-West Java,3
BENTUK KUADRATIK JUMLAH KUADRAT DAN KOMPONEN RAGAM RANCANGAN TERSARANG DUA TAHAP MODEL ACAK,"(None,)"
RANCANGAN PERCOBAAN* Oleh,"(None,)"
"SIGIT SUDARMADI, SHOSUKE SUZUKI, TOMOYUKI KAWADA, HERAWATI NETTI, SOEHARSONO SOEMANTRI and A. TRI TUGASWATI/A survey of perception, knowledge, awareness, and attitude in regard …","(None,)"
"HERAWATI NETTI, SOEHARSONO SOEMANTRI"" and","(None,)"
Sosiologi Ekonomi: Konsumerisme dan Budaya Konsumen,1
Engaging Men: Results of the MenCare+ Gender Justice Program in Indonesia,"(None,)"
"TOWARDS A NEW VILLAGE DEVELOPMENT PARADIGM IN LAMPUNG PROVINCE, INDONESIA","(None,)"
KEKERASAN SIMBOLIK BERBASIS GENDER DALAM BUDAYA POP INDONESIA,"(None,)"
MODAL SOSIAL DAN STRATEGI BERTAHAN HIDUP DI KELUARGA ANAK PUTUS SEKOLAH PERKOTAAN,"(None,)"
Rationality of Social Action of the Yogyakarta Palace’s Courtiers,"(None,)"
Edelweiss Van Jogja,"(None,)"
"POLA HUBUNGAN ANTAR GOLONGAN, STEREOTIPE ETNIK DAN REKONSILIASI KONFLIK (Studi Pola Hubungan Antar Golongan Pada Masyarakat Majemuk Dalam Perspektif Feminisme)","(None,)"
"ETNISITAS DAN PERKEMBANGAN BISNIS KECIL Studi Tentang Pengaruh Nilai Budaya Etnik Asli Lampung"" Pi-iI Pesenggiri"" Terhadap Perkembangan Bisnis Kecil Di Kabupatan Lampung Tengah","(None,)"
"TRANSMIGRASI SWAKARSA: HMOTIVASI, PENGAMBILAN KEPUTUSAN PINDA DAN PROSES KEPINDAHANNYA","(None,)"
POLA INTERAKSI ANTAR ETNIK DAN MEKANISME PEACE BUILDING,"(None,)"
"The chemical modification of protease enzyme isolated from local bacteria isolate, Bacillus subtilis ITBCCB148 with cyanuric chloride polyethylenglycol",20
Antifungal Activity Test of some Organotin (IV) Carboxylates,16
"Morusin, a Bioactive Compound from the Root Bark of Artocarpus dadah",13
Synthesis and in vitro anticancer activity of some organotin (IV) benzoate compounds,12
The bioactivity test of artonin E from the bark of Artocarpus rigida Blume,11
Comparative study on the antifungal activity of some di-and tributyltin (IV) carboxylate compounds,10
"Nurhasanah, 2009. Comparative Study on the Antifungal Activity of Some Di-and Tributyltin (IV) Carboxylate Compounds",10
Synthesis and Potency Study of Some Dibutyltin (IV) Dinitrobenzoate Compounds as Corrosion Inhibitor for Mild Steel HRP in DMSO-HCl Solution.,9
"IN VITRO ACTIVITY AND COMPARATIVE STUDIES OF SOME ORGANOTIN (IV) BENZOATE DERIVATIVES AGAINST LEUKEMIA CANCER CELL, L-1210",8
"Reactions of cisplatin hydrolytes, ",8
Production of lactic acid from onggok and tofu liquid waste with concentrate maguro waste supplement by Streptococcus bovis,7
Reactions of fac-[PtMe2 (OMe)(H2O) 3]+ with halide ions: effect of halide trans effect on methoxide hydrolysis,6
Immobilization of a-amylase from locale bacteria isolate bacillus subtilis itbccb148 with carboxymethyl cellulose (CM-Cellulose),5
REACTIONS OF CISPLATIN HYDROLYTES WITH THIOLS 2: REACTIONS OF cis-[Pt (^ 1^ 5NH~ 3)~ 2 (H~ 2O)~ 2]^ 2^+ WITH L-CYSTEINE,5
ASIAN JOURNAL OF CHEMISTRY ASIAN JOURNAL OF CHEMISTRY,4
Lactic acid production from fresh cassava roots using single-stage membrane bioreactor,4
"The Isolation of?-viniferin, A Trimer Stilbene, from Shorea ovalis Blume",4
"The Effect of Chemical Modification on the Thermal Stability of Protease from Local Isolate Bacteria, Bacillus subtilisITBCCB148",4
"The Effect of Chemical Modification on the Thermal Stability of Protease from Local Isolate Bacteria, Bacillus subtilis ITBCCB148",4
The enhancement of handover strategy by mobility prediction in broadband wireless access,16
The analysis of scanning time in IEEE802. 16m's handover procedure,10
Design and implementation web based geographic information system for public services in Bandar Lampung City—Indonesia,7
IMS signalling in ltebased femtocell network,7
The study of IMS functionality in femtocell environment,5
IEEE802. 16 MAC management messages: The overhead and efficiency analysis in mesh topology,4
The Overhead and Efficiency Analysis on WiMAX’s MAC Management Message,4
The Efficiency Performance on Handover’s Scanning Process of IEEE802. 16m,4
Dynamic tunnel switching using network functions visualization for HA system failover,3
Retransmission issue of SIP session over UDP transport protocol in IP Multimedia Subsystem-IMS,3
High available VoIP server failover mechanism in Wide Area Network,2
Voice Quality of VoIP in High Availability Environment,2
Integrated IMS-femtocell testbed,2
The analysis of IEEE802. 16e MAC layer overhead and efficiency in PMP topology,1
Analysing the Flexibility and Utilisation of Node Association MAC Scheduling Mechanism Based on IEEE 802.16 e,1
Combined centralised and distributed mechanism for utilisation of node association in broadband wireless network,"(None,)"
PENGEMBANGAN WEBSITE KANTOR PERKEBUNAN PENGOLAHAN BIBIT UNGGUL KAKAO KAB. LUWU UTARA,"(None,)"
Dynamic Spectrum Access (Dsa) Dengan Mekanisme Spectrum Sensing Berbasis Pendeteksian Kanal Dan Bandwidth Untuk Efisiensi Spektrum,"(None,)"
The Analysis of Communication Process between User Equipment and Application Server in the Integrated IMS,"(None,)"
